year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2021,Ford Ecosport,TITANIUM PLUS SE1.5 TDCI MT,Manual,"13,085",1st ,Diesel,MH,"22,989",Zero Down Payment,"12,24,199"
2016,Maruti Ciaz,ZXI+ AT,Automatic,"60,705",1st ,Petrol,MH,"12,444",Zero Down Payment,"6,36,499"
2019,Hyundai NEW SANTRO,SPORTZ AMT ANNIVERSARY EDITION,Automatic,"6,335",1st ,Petrol,MH,"11,609",Zero Down Payment,"5,93,799"
2018,Maruti Celerio,VXI CNG,Manual,"26,129",1st ,Petrol + CNG,MH,"10,387",Zero Down Payment,"5,31,299"
2016,Mahindra XUV500,W10 AT FWD,Automatic,"94,543",2nd ,Diesel,MH,"18,963",Zero Down Payment,"10,09,799"
2019,Maruti Celerio X,Zxi,Manual,"42,820",1st ,Petrol + CNG,MH,"10,233",Zero Down Payment,"5,23,399"
2014,Maruti Swift,VDI,Manual,"95,154",2nd ,Diesel,MH,"7,994",Zero Down Payment,"4,08,899"
2019,Tata Harrier,XZ 2.0L Kryotec,Manual,"49,651",1st ,Diesel,MH,"26,937",Zero Down Payment,"14,34,399"
2018,Maruti Baleno,DELTA 1.2 K12,Manual,"20,968",1st ,Petrol,MH,"11,628",Zero Down Payment,"5,94,799"
2018,Maruti Celerio,VXI CNG OPT,Manual,"31,954",1st ,Petrol + CNG,MH,"10,837",Zero Down Payment,"5,54,299"
2021,Volkswagen Vento,HIGHLINE PLUS 1.0 TSI AT,Automatic,"18,774",1st ,Petrol,MH,"26,621",Zero Down Payment,"14,17,599"
2015,Hyundai Xcent,SX 1.2 OPT,Manual,"62,208",1st ,Petrol,MH,"8,887",Zero Down Payment,"4,54,599"
2017,Maruti Dzire,VXI AMT,Automatic,"19,756",1st ,Petrol,MH,"13,400",Zero Down Payment,"6,85,399"
